month,cty_code,country,gen_val_usd,gen_qty,qty_unit,con_val_usd,hts
2024-04,0027,ASEAN,591448,1855,NO,591448,7104911000
2024-04,1220,CANADA,681549,485,NO,681549,7104911000
2024-04,7910,SOUTH AFRICA,0,0,NO,8492,7104911000
2024-04,7920,NAMIBIA,2300,1,NO,2300,7104911000
2024-05,5200,UNITED ARAB EMIRATES,4242,7,NO,4242,7104911000
2024-05,5330,INDIA,88867594,2162360,NO,99081501,7104911000
2024-05,5490,THAILAND,70784,39569,NO,134243,7104911000
2024-05,5590,SINGAPORE,2350,1,NO,2350,7104911000
2024-05,5600,INDONESIA,131063,667,NO,131063,7104911000
2024-05,5700,CHINA,103195,10385,NO,103195,7104911000
2024-05,5820,HONG KONG,943908,1248,NO,943908,7104911000
2024-05,5880,JAPAN,2080,1300,NO,2080,7104911000
2024-05,6021,AUSTRALIA,10304,3,NO,10304,7104911000
2024-05,6141,NEW ZEALAND,0,0,NO,0,7104911000
2024-05,4120,UNITED KINGDOM,66336,51,NO,66336,7104911000
2024-05,4210,NETHERLANDS,54496,220,NO,54496,7104911000
2024-05,4231,BELGIUM,299900,6210,NO,299900,7104911000
2024-05,4280,GERMANY,357637,326,NO,357637,7104911000
2024-05,4330,AUSTRIA,33974,234426,NO,33974,7104911000
2024-05,4419,SWITZERLAND,0,0,NO,0,7104911000
2024-05,4759,ITALY,0,0,NO,0,7104911000
2024-05,4890,TURKEY,31400,315,NO,31400,7104911000
2024-05,5081,ISRAEL,2622522,15414,NO,2571753,7104911000
2024-05,-,TOTAL FOR ALL COUNTRIES,93923341,2472733,NO,104149938,7104911000
2024-05,0003,EUROPEAN UNION,746007,241182,NO,746007,7104911000
2024-05,1XXX,NORTH AMERICA,321556,231,NO,321556,7104911000
2024-05,4XXX,EUROPE,843743,241548,NO,843743,7104911000
2024-05,7XXX,AFRICA,0,0,NO,0,7104911000
2024-05,0014,PACIFIC RIM COUNTRIES,1192900,13604,NO,1192900,7104911000
2024-05,5XXX,ASIA,92747738,2230951,NO,102974335,7104911000
2024-05,6XXX,AUSTRALIA AND OCEANIA,10304,3,NO,10304,7104911000
2024-05,0020,USMCA (NAFTA),321556,231,NO,321556,7104911000
2024-05,0022,OECD,3800205,258496,NO,3749436,7104911000
2024-05,0023,NATO,1131325,7353,NO,1131325,7104911000
2024-05,0025,EURO AREA,746007,241182,NO,746007,7104911000
2024-05,0026,APEC,1585240,53404,NO,1648699,7104911000
2024-05,0027,ASEAN,204197,40237,NO,267656,7104911000
2024-05,1220,CANADA,321556,231,NO,321556,7104911000
2024-05,7910,SOUTH AFRICA,0,0,NO,0,7104911000
2024-05,7920,NAMIBIA,0,0,NO,0,7104911000
2024-06,5200,UNITED ARAB EMIRATES,2349,1,NO,2349,7104911000
2024-06,5330,INDIA,66199799,2825914,NO,64260636,7104911000
2024-06,5490,THAILAND,332901,4550,NO,276343,7104911000
2024-06,5590,SINGAPORE,0,0,NO,0,7104911000
2024-06,5600,INDONESIA,98315,331,NO,98315,7104911000
2024-06,5700,CHINA,99162,1126,NO,99162,7104911000
2024-06,5820,HONG KONG,441472,574,NO,441471,7104911000
2024-06,5880,JAPAN,0,0,NO,0,7104911000
2024-06,6021,AUSTRALIA,4362,1,NO,4362,7104911000
2024-06,6141,NEW ZEALAND,0,0,NO,0,7104911000
2024-06,4120,UNITED KINGDOM,74508,200,NO,74508,7104911000
2024-06,4210,NETHERLANDS,45253,135,NO,45253,7104911000
2024-06,4231,BELGIUM,992793,3256,NO,992793,7104911000
2024-06,4280,GERMANY,173243,81,NO,173243,7104911000
2024-06,4330,AUSTRIA,12736,38672,NO,12736,7104911000
2024-06,4419,SWITZERLAND,42599,19,NO,42599,7104911000
2024-06,4759,ITALY,0,0,NO,0,7104911000
2024-06,4890,TURKEY,0,0,NO,0,7104911000
2024-06,5081,ISRAEL,1228750,7747,NO,1217949,7104911000
2024-06,-,TOTAL FOR ALL COUNTRIES,69810468,2882710,NO,67795453,7104911000
2024-06,0003,EUROPEAN UNION,1224025,42144,NO,1224025,7104911000
2024-06,1XXX,NORTH AMERICA,45734,86,NO,45734,7104911000
2024-06,4XXX,EUROPE,1341132,42363,NO,1341132,7104911000
2024-06,7XXX,AFRICA,16492,17,NO,8000,7104911000
2024-06,0014,PACIFIC RIM COUNTRIES,643311,2032,NO,643310,7104911000
2024-06,5XXX,ASIA,68402748,2840243,NO,66396225,7104911000
2024-06,6XXX,AUSTRALIA AND OCEANIA,4362,1,NO,4362,7104911000
2024-06,0020,USMCA (NAFTA),45734,86,NO,45734,7104911000
2024-06,0022,OECD,2619978,50197,NO,2609177,7104911000
2024-06,0023,NATO,1331531,3758,NO,1331531,7104911000
2024-06,0025,EURO AREA,1224025,42144,NO,1224025,7104911000
2024-06,0026,APEC,1021946,6668,NO,965387,7104911000
2024-06,0027,ASEAN,431216,4881,NO,374658,7104911000
2024-06,1220,CANADA,45734,86,NO,45734,7104911000
2024-06,7910,SOUTH AFRICA,16492,17,NO,8000,7104911000
2024-06,7920,NAMIBIA,0,0,NO,0,7104911000
2024-07,5200,UNITED ARAB EMIRATES,106073,2791,NO,0,7104911000
2024-07,5330,INDIA,74947788,4748585,NO,84933242,7104911000
2024-07,5490,THAILAND,1564657,9390,NO,1800142,7104911000
2024-07,5520,VIETNAM,5000,1,NO,5000,7104911000
2024-07,5590,SINGAPORE,5253,1,NO,5253,7104911000
2024-07,5600,INDONESIA,226000,906,NO,226000,7104911000
2024-07,5700,CHINA,192456,11054,NO,192456,7104911000
2024-07,5820,HONG KONG,373808,3259,NO,373808,7104911000
2024-07,5880,JAPAN,0,0,NO,0,7104911000
2024-07,6021,AUSTRALIA,23314,11,NO,23314,7104911000
2024-07,6141,NEW ZEALAND,4960,8837,NO,4960,7104911000
2024-07,4120,UNITED KINGDOM,83481,259,NO,83481,7104911000
2024-07,4210,NETHERLANDS,30779,108,NO,80779,7104911000
2024-07,4231,BELGIUM,1837177,3815,NO,1837177,7104911000
2024-07,4280,GERMANY,121864,40,NO,121864,7104911000
2024-07,4330,AUSTRIA,26631,173958,NO,26631,7104911000
2024-07,4419,SWITZERLAND,10163,7,NO,10163,7104911000
2024-07,4759,ITALY,0,0,NO,0,7104911000
2024-07,4890,TURKEY,15100,150,NO,15100,7104911000
2024-07,5081,ISRAEL,1271310,5186,NO,1487844,7104911000
2024-07,-,TOTAL FOR ALL COUNTRIES,81122216,4969824,NO,91503616,7104911000
2024-07,0003,EUROPEAN UNION,2016451,177921,NO,2066451,7104911000
2024-07,1XXX,NORTH AMERICA,276402,1466,NO,276402,7104911000
2024-07,4XXX,EUROPE,2125195,178337,NO,2175195,7104911000
2024-07,7XXX,AFRICA,0,0,NO,0,7104911000
2024-07,0014,PACIFIC RIM COUNTRIES,825791,24068,NO,825791,7104911000
2024-07,5XXX,ASIA,78692345,4781173,NO,89023745,7104911000
2024-07,6XXX,AUSTRALIA AND OCEANIA,28274,8848,NO,28274,7104911000
2024-07,0020,USMCA (NAFTA),276402,1466,NO,276402,7104911000
2024-07,0022,OECD,3701181,193837,NO,3967715,7104911000
2024-07,0023,NATO,2364803,5838,NO,2414803,7104911000
2024-07,0025,EURO AREA,2016451,177921,NO,2066451,7104911000
2024-07,0026,APEC,2671850,34925,NO,2907335,7104911000
2024-07,0027,ASEAN,1800910,10298,NO,2036395,7104911000
2024-07,1220,CANADA,276402,1466,NO,276402,7104911000
2024-07,7910,SOUTH AFRICA,0,0,NO,0,7104911000
2024-07,7920,NAMIBIA,0,0,NO,0,7104911000
2024-08,5200,UNITED ARAB EMIRATES,0,0,NO,0,7104911000
2024-08,5330,INDIA,70234992,5589509,NO,71930838,7104911000
2024-08,5490,THAILAND,3218911,9110,NO,5504812,7104911000
2024-08,5520,VIETNAM,0,0,NO,0,7104911000
2024-08,5590,SINGAPORE,0,0,NO,0,7104911000
2024-08,5600,INDONESIA,143908,629,NO,143908,7104911000
2024-08,5700,CHINA,101479,16202,NO,101479,7104911000
2024-08,5820,HONG KONG,161530,252,NO,161530,7104911000
2024-08,5880,JAPAN,0,0,NO,0,7104911000
2024-08,6021,AUSTRALIA,0,0,NO,0,7104911000
2024-08,6141,NEW ZEALAND,0,0,NO,0,7104911000
2024-08,4120,UNITED KINGDOM,63915,3267,NO,63915,7104911000
2024-08,4210,NETHERLANDS,17659,72,NO,17659,7104911000
2024-08,4231,BELGIUM,34484,24,NO,34484,7104911000
2024-08,4280,GERMANY,249707,85,NO,249707,7104911000
2024-08,4330,AUSTRIA,12295,32742,NO,12295,7104911000
2024-08,4419,SWITZERLAND,11000,3,NO,11000,7104911000
2024-08,4759,ITALY,0,0,NO,0,7104911000
2024-08,4890,TURKEY,15100,150,NO,15100,7104911000
2024-08,5081,ISRAEL,731536,7867,NO,631422,7104911000
2024-08,-,TOTAL FOR ALL COUNTRIES,75308942,5672316,NO,79056845,7104911000
2024-08,0003,EUROPEAN UNION,314145,32923,NO,314145,7104911000
2024-08,1XXX,NORTH AMERICA,178696,139,NO,178696,7104911000
2024-08,4XXX,EUROPE,404160,36343,NO,404160,7104911000
2024-08,7XXX,AFRICA,133730,12265,NO,0,7104911000
2024-08,0014,PACIFIC RIM COUNTRIES,406917,17083,NO,406917,7104911000
2024-08,5XXX,ASIA,74592356,5623569,NO,78473989,7104911000
2024-08,6XXX,AUSTRALIA AND OCEANIA,0,0,NO,0,7104911000
2024-08,0020,USMCA (NAFTA),178696,139,NO,178696,7104911000
2024-08,0022,OECD,1314392,44349,NO,1214278,7104911000
2024-08,0023,NATO,559561,3737,NO,559561,7104911000
2024-08,0025,EURO AREA,314145,32923,NO,314145,7104911000
2024-08,0026,APEC,3804524,26332,NO,6090425,7104911000
2024-08,0027,ASEAN,3362819,9739,NO,5648720,7104911000
2024-08,1220,CANADA,178696,139,NO,178696,7104911000
2024-08,7910,SOUTH AFRICA,133730,12265,NO,0,7104911000
2024-08,7920,NAMIBIA,0,0,NO,0,7104911000
2024-09,5200,UNITED ARAB EMIRATES,9043,10,NO,9043,7104911000
2024-09,5330,INDIA,78815303,5919792,NO,80454747,7104911000
2024-09,5490,THAILAND,6881018,27142,NO,6030943,7104911000
2024-09,5520,VIETNAM,0,0,NO,0,7104911000
2024-09,5590,SINGAPORE,15492,1,NO,15492,7104911000
2024-09,5600,INDONESIA,337538,1609,NO,337538,7104911000
2024-09,5700,CHINA,124639,392726,NO,124639,7104911000
2024-09,5820,HONG KONG,90078,183,NO,90078,7104911000
2024-09,5880,JAPAN,0,0,NO,0,7104911000
2024-09,6021,AUSTRALIA,8538,4,NO,8538,7104911000
2024-09,6141,NEW ZEALAND,0,0,NO,0,7104911000
2024-09,4120,UNITED KINGDOM,105798,321,NO,105798,7104911000
2024-09,4210,NETHERLANDS,33711,108,NO,33711,7104911000
2024-09,4231,BELGIUM,2552285,130,NO,2806018,7104911000
2024-09,4280,GERMANY,4978,576,NO,4978,7104911000
2024-09,4330,AUSTRIA,17409,173070,NO,17409,7104911000
2024-09,4419,SWITZERLAND,20600,6,NO,20600,7104911000
2024-09,4759,ITALY,0,0,NO,0,7104911000
2024-09,4890,TURKEY,16780,1,NO,16780,7104911000
2024-09,5081,ISRAEL,1001530,5734,NO,1001530,7104911000
2024-09,-,TOTAL FOR ALL COUNTRIES,91054416,6521894,NO,92097518,7104911000
2024-09,0003,EUROPEAN UNION,2608383,173884,NO,2862116,7104911000
2024-09,1XXX,NORTH AMERICA,1012724,427,NO,1012724,7104911000
2024-09,4XXX,EUROPE,2751561,174212,NO,3005294,7104911000
2024-09,7XXX,AFRICA,6952,54,NO,6952,7104911000
2024-09,0014,PACIFIC RIM COUNTRIES,576285,394523,NO,576285,7104911000
2024-09,5XXX,ASIA,87274641,6347197,NO,88064010,7104911000
2024-09,6XXX,AUSTRALIA AND OCEANIA,8538,4,NO,8538,7104911000
2024-09,0020,USMCA (NAFTA),1012724,427,NO,1012724,7104911000
2024-09,0022,OECD,4774353,180377,NO,5028086,7104911000
2024-09,0023,NATO,3726276,1563,NO,3980009,7104911000
2024-09,0025,EURO AREA,2608383,173884,NO,2862116,7104911000
2024-09,0026,APEC,8470027,422092,NO,7619952,7104911000
2024-09,0027,ASEAN,7234048,28752,NO,6383973,7104911000
2024-09,1220,CANADA,1012724,427,NO,1012724,7104911000
2024-09,7910,SOUTH AFRICA,0,0,NO,0,7104911000
2024-09,7920,NAMIBIA,0,0,NO,0,7104911000
2024-09,7930,BOTSWANA,6952,54,NO,6952,7104911000
2024-10,5200,UNITED ARAB EMIRATES,559430,15979,NO,213605,7104911000
2024-10,5330,INDIA,96161030,6864231,NO,106864587,7104911000
2024-10,5490,THAILAND,6525536,15726,NO,8577413,7104911000
2024-10,5520,VIETNAM,0,0,NO,0,7104911000
2024-10,5590,SINGAPORE,11333,3,NO,11333,7104911000
2024-10,5600,INDONESIA,225460,431,NO,225460,7104911000
2024-10,5700,CHINA,169625,549841,NO,169625,7104911000
2024-10,5820,HONG KONG,2213691,98764,NO,2213691,7104911000
2024-10,5880,JAPAN,0,0,NO,0,7104911000
2024-10,6021,AUSTRALIA,4660,3,NO,12075,7104911000
2024-10,6141,NEW ZEALAND,0,0,NO,0,7104911000
2024-10,4120,UNITED KINGDOM,54956,129,NO,54956,7104911000
2024-10,4210,NETHERLANDS,32434,138,NO,32434,7104911000
2024-10,4231,BELGIUM,106301,304,NO,106301,7104911000
2024-10,4280,GERMANY,39098,46,NO,39098,7104911000
2024-10,4330,AUSTRIA,24229,291031,NO,24229,7104911000
2024-10,4419,SWITZERLAND,88438,107,NO,88438,7104911000
